 2600           1
 TGO        SEFF         PALB    FH2O              FTIR(1)         FTSO(1)
 ==================================================
 200.0     0.37634     0.29825 1.65680E-06          90.262         239.843
 220.0     0.48698     0.28825 3.73017E-06         118.465         243.262
 240.0     0.60716     0.26141 3.96908E-06         153.268         252.434
 260.0     0.71012     0.21835 7.50795E-06         189.710         267.151
 280.0     0.79874     0.16949 1.45593E-05         226.724         283.851
 300.0     0.82356     0.10554 1.90819E-05         251.768         305.708
 320.0     0.81604     0.05203 1.14061E-04         264.394         323.997
 340.0     0.81716     0.02856 1.99708E-03         271.313         332.019
 360.0     0.81450     0.01519 7.47152E-02         274.154         336.589
 380.0     0.81559     0.00810 2.89513E-01         276.493         339.010
 400.0     0.81686     0.00461 5.08837E-01         277.899         340.204
 420.0     0.81820     0.00313 6.70553E-01         278.767         340.709
 440.0     0.81927     0.00264 7.78154E-01         279.272         340.877
 460.0     0.82006     0.00248 8.49676E-01         279.585         340.933
 480.0     0.82071     0.00240 8.91268E-01         279.828         340.960
 500.0     0.82110     0.00235 9.18847E-01         279.975         340.976
 520.0     0.82148     0.00233 9.40632E-01         280.109         340.983
 540.0     0.82168     0.00232 9.54886E-01         280.183         340.987
 600.0     0.82260     0.00231 9.69314E-01         280.497         340.989
 720.0     0.82290     0.00231 9.64714E-01         280.601         340.990
 850.0     0.82217     0.00233 9.50983E-01         280.345         340.984
1060.0     0.82194     0.00227 9.31156E-01         280.283         341.003
1200.0     0.82225     0.00217 9.14777E-01         280.420         341.039
1400.0     0.83265     0.00200 8.91991E-01         284.013         341.096
1500.0     0.85006     0.00193 8.60395E-01         289.972         341.120
1600.0     0.88887     0.00183 9.47634E-01         303.241         341.155
1800.0     1.08881     0.00171 8.66125E-01         371.494         341.194
2000.0     1.67036     0.00162 9.13792E-01         569.969         341.226
 
 2800           2
 TGO        SEFF         PALB    FH2O              FTIR(1)         FTSO(1)
 ==================================================
 200.0     0.37722     0.29989 1.65680E-06          90.262         239.284
 220.0     0.48833     0.29021 3.73017E-06         118.465         242.593
 240.0     0.60921     0.26389 3.96908E-06         153.268         251.586
 260.0     0.71296     0.22147 7.50795E-06         189.710         266.087
 280.0     0.80219     0.17306 1.45593E-05         226.724         282.631
 300.0     0.82827     0.11063 1.90819E-05         251.768         303.968
 320.0     0.82111     0.05788 1.14061E-04         264.394         321.997
 340.0     0.82164     0.03386 1.99708E-03         271.313         330.208
 360.0     0.81826     0.01971 7.47152E-02         274.154         335.044
 380.0     0.81868     0.01184 2.89513E-01         276.493         337.732
 400.0     0.81943     0.00773 5.08837E-01         277.899         339.138
 420.0     0.82044     0.00586 6.70553E-01         278.767         339.776
 440.0     0.82133     0.00514 7.78154E-01         279.272         340.023
 460.0     0.82204     0.00489 8.49676E-01         279.585         340.109
 480.0     0.82267     0.00478 8.91268E-01         279.828         340.147
 500.0     0.82305     0.00471 9.18847E-01         279.975         340.169
 520.0     0.82342     0.00469 9.40632E-01         280.109         340.176
 540.0     0.82363     0.00467 9.54886E-01         280.183         340.182
 600.0     0.82455     0.00467 9.69314E-01         280.497         340.182
 720.0     0.82485     0.00467 9.64714E-01         280.601         340.185
 850.0     0.82412     0.00470 9.50983E-01         280.345         340.175
1060.0     0.82384     0.00457 9.31156E-01         280.283         340.217
1200.0     0.82406     0.00435 9.14777E-01         280.420         340.291
1400.0     0.83434     0.00403 8.91991E-01         284.013         340.403
1500.0     0.85174     0.00390 8.60395E-01         289.972         340.448
1600.0     0.89056     0.00372 9.47634E-01         303.241         340.507
1800.0     1.09079     0.00353 8.66125E-01         371.494         340.574
2000.0     1.67331     0.00338 9.13792E-01         569.969         340.624
 
 3000           3
 TGO        SEFF         PALB    FH2O              FTIR(1)         FTSO(1)
 ==================================================
 200.0     0.37847     0.30220 1.65680E-06          90.262         238.492
 220.0     0.49016     0.29286 3.73017E-06         118.465         241.687
 240.0     0.61216     0.26744 3.96908E-06         153.268         250.373
 260.0     0.71730     0.22617 7.50795E-06         189.710         264.479
 280.0     0.80764     0.17864 1.45593E-05         226.724         280.724
 300.0     0.83500     0.11779 1.90819E-05         251.768         301.521
 320.0     0.82787     0.06557 1.14061E-04         264.394         319.367
 340.0     0.82755     0.04076 1.99708E-03         271.313         327.850
 360.0     0.82329     0.02569 7.47152E-02         274.154         332.999
 380.0     0.82293     0.01695 2.89513E-01         276.493         335.985
 400.0     0.82313     0.01219 5.08837E-01         277.899         337.614
 420.0     0.82381     0.00992 6.70553E-01         278.767         338.389
 440.0     0.82451     0.00897 7.78154E-01         279.272         338.714
 460.0     0.82517     0.00865 8.49676E-01         279.585         338.823
 480.0     0.82579     0.00854 8.91268E-01         279.828         338.862
 500.0     0.82617     0.00847 9.18847E-01         279.975         338.883
 520.0     0.82656     0.00847 9.40632E-01         280.109         338.886
 540.0     0.82676     0.00845 9.54886E-01         280.183         338.893
 600.0     0.82770     0.00846 9.69314E-01         280.497         338.889
 720.0     0.82799     0.00844 9.64714E-01         280.601         338.893
 850.0     0.82727     0.00849 9.50983E-01         280.345         338.878
1060.0     0.82691     0.00827 9.31156E-01         280.283         338.953
1200.0     0.82701     0.00790 9.14777E-01         280.420         339.079
1400.0     0.83714     0.00736 8.91991E-01         284.013         339.264
1500.0     0.85453     0.00715 8.60395E-01         289.972         339.336
1600.0     0.89339     0.00688 9.47634E-01         303.241         339.428
1800.0     1.09413     0.00657 8.66125E-01         371.494         339.534
2000.0     1.67830     0.00635 9.13792E-01         569.969         339.610
 
 3200           4
 TGO        SEFF         PALB    FH2O              FTIR(1)         FTSO(1)
 ==================================================
 200.0     0.37986     0.30477 1.65680E-06          90.262         237.617
 220.0     0.49221     0.29580 3.73017E-06         118.465         240.681
 240.0     0.61552     0.27144 3.96908E-06         153.268         249.006
 260.0     0.72238     0.23161 7.50795E-06         189.710         262.620
 280.0     0.81422     0.18527 1.45593E-05         226.724         278.456
 300.0     0.84291     0.12607 1.90819E-05         251.768         298.690
 320.0     0.83570     0.07433 1.14061E-04         264.394         316.375
 340.0     0.83445     0.04869 1.99708E-03         271.313         325.138
 360.0     0.82926     0.03271 7.47152E-02         274.154         330.600
 380.0     0.82812     0.02311 2.89513E-01         276.493         333.880
 400.0     0.82776     0.01772 5.08837E-01         277.899         335.723
 420.0     0.82813     0.01509 6.70553E-01         278.767         336.621
 440.0     0.82867     0.01395 7.78154E-01         279.272         337.013
 460.0     0.82931     0.01360 8.49676E-01         279.585         337.131
 480.0     0.82996     0.01352 8.91268E-01         279.828         337.159
 500.0     0.83036     0.01348 9.18847E-01         279.975         337.171
 520.0     0.83078     0.01350 9.40632E-01         280.109         337.164
 540.0     0.83098     0.01349 9.54886E-01         280.183         337.169
 600.0     0.83194     0.01352 9.69314E-01         280.497         337.160
 720.0     0.83223     0.01350 9.64714E-01         280.601         337.167
 850.0     0.83153     0.01356 9.50983E-01         280.345         337.144
1060.0     0.83106     0.01323 9.31156E-01         280.283         337.259
1200.0     0.83101     0.01268 9.14777E-01         280.420         337.446
1400.0     0.84098     0.01188 8.91991E-01         284.013         337.718
1500.0     0.85836     0.01158 8.60395E-01         289.972         337.822
1600.0     0.89728     0.01119 9.47634E-01         303.241         337.954
1800.0     1.09874     0.01074 8.66125E-01         371.494         338.108
2000.0     1.68522     0.01043 9.13792E-01         569.969         338.216
 
 3400           5
 TGO        SEFF         PALB    FH2O              FTIR(1)         FTSO(1)
 ==================================================
 200.0     0.38113     0.30707 1.65680E-06          90.262         236.828
 220.0     0.49406     0.29844 3.73017E-06         118.465         239.778
 240.0     0.61858     0.27504 3.96908E-06         153.268         247.775
 260.0     0.72708     0.23658 7.50795E-06         189.710         260.922
 280.0     0.82042     0.19144 1.45593E-05         226.724         276.351
 300.0     0.85032     0.13369 1.90819E-05         251.768         296.087
 320.0     0.84303     0.08238 1.14061E-04         264.394         313.624
 340.0     0.84100     0.05610 1.99708E-03         271.313         322.607
 360.0     0.83502     0.03938 7.47152E-02         274.154         328.320
 380.0     0.83321     0.02908 2.89513E-01         276.493         331.842
 400.0     0.83240     0.02320 5.08837E-01         277.899         333.852
 420.0     0.83254     0.02030 6.70553E-01         278.767         334.841
 440.0     0.83296     0.01903 7.78154E-01         279.272         335.276
 460.0     0.83361     0.01870 8.49676E-01         279.585         335.390
 480.0     0.83432     0.01867 8.91268E-01         279.828         335.397
 500.0     0.83476     0.01868 9.18847E-01         279.975         335.395
 520.0     0.83521     0.01874 9.40632E-01         280.109         335.375
 540.0     0.83542     0.01873 9.54886E-01         280.183         335.378
 600.0     0.83640     0.01878 9.69314E-01         280.497         335.361
 720.0     0.83669     0.01875 9.64714E-01         280.601         335.370
 850.0     0.83600     0.01884 9.50983E-01         280.345         335.341
1060.0     0.83544     0.01839 9.31156E-01         280.283         335.494
1200.0     0.83523     0.01767 9.14777E-01         280.420         335.740
1400.0     0.84504     0.01664 8.91991E-01         284.013         336.093
1500.0     0.86243     0.01624 8.60395E-01         289.972         336.228
1600.0     0.90143     0.01574 9.47634E-01         303.241         336.398
1800.0     1.10367     0.01516 8.66125E-01         371.494         336.598
2000.0     1.69262     0.01475 9.13792E-01         569.969         336.737
 
 3600           6
 TGO        SEFF         PALB    FH2O              FTIR(1)         FTSO(1)
 ==================================================
 200.0     0.38239     0.30936 1.65680E-06          90.262         236.048
 220.0     0.49590     0.30105 3.73017E-06         118.465         238.888
 240.0     0.62164     0.27862 3.96908E-06         153.268         246.554
 260.0     0.73191     0.24162 7.50795E-06         189.710         259.199
 280.0     0.82696     0.19783 1.45593E-05         226.724         274.166
 300.0     0.85820     0.14164 1.90819E-05         251.768         293.368
 320.0     0.85091     0.09087 1.14061E-04         264.394         310.721
 340.0     0.84809     0.06398 1.99708E-03         271.313         319.912
 360.0     0.84127     0.04651 7.47152E-02         274.154         325.882
 380.0     0.83875     0.03549 2.89513E-01         276.493         329.649
 400.0     0.83749     0.02913 5.08837E-01         277.899         331.823
 420.0     0.83740     0.02599 6.70553E-01         278.767         332.897
 440.0     0.83772     0.02460 7.78154E-01         279.272         333.370
 460.0     0.83840     0.02430 8.49676E-01         279.585         333.473
 480.0     0.83918     0.02436 8.91268E-01         279.828         333.455
 500.0     0.83967     0.02442 9.18847E-01         279.975         333.434
 520.0     0.84016     0.02452 9.40632E-01         280.109         333.398
 540.0     0.84039     0.02452 9.54886E-01         280.183         333.398
 600.0     0.84139     0.02460 9.69314E-01         280.497         333.373
 720.0     0.84167     0.02456 9.64714E-01         280.601         333.385
 850.0     0.84100     0.02467 9.50983E-01         280.345         333.349
1060.0     0.84032     0.02410 9.31156E-01         280.283         333.543
1200.0     0.83995     0.02319 9.14777E-01         280.420         333.852
1400.0     0.84959     0.02190 8.91991E-01         284.013         334.294
1500.0     0.86698     0.02141 8.60395E-01         289.972         334.461
1600.0     0.90608     0.02079 9.47634E-01         303.241         334.674
1800.0     1.10919     0.02006 8.66125E-01         371.494         334.924
2000.0     1.70091     0.01955 9.13792E-01         569.969         335.097
 
 3800           7
 TGO        SEFF         PALB    FH2O              FTIR(1)         FTSO(1)
 ==================================================
 200.0     0.38371     0.31174 1.65680E-06          90.262         235.233
 220.0     0.49783     0.30376 3.73017E-06         118.465         237.961
 240.0     0.62487     0.28234 3.96908E-06         153.268         245.280
 260.0     0.73708     0.24694 7.50795E-06         189.710         257.380
 280.0     0.83407     0.20467 1.45593E-05         226.724         271.828
 300.0     0.86679     0.15015 1.90819E-05         251.768         290.460
 320.0     0.85950     0.09996 1.14061E-04         264.394         307.616
 340.0     0.85580     0.07242 1.99708E-03         271.313         317.028
 360.0     0.84806     0.05416 7.47152E-02         274.154         323.270
 380.0     0.84479     0.04239 2.89513E-01         276.493         327.292
 400.0     0.84306     0.03554 5.08837E-01         277.899         329.633
 420.0     0.84273     0.03215 6.70553E-01         278.767         330.790
 440.0     0.84296     0.03067 7.78154E-01         279.272         331.298
 460.0     0.84368     0.03041 8.49676E-01         279.585         331.386
 480.0     0.84455     0.03056 8.91268E-01         279.828         331.336
 500.0     0.84510     0.03069 9.18847E-01         279.975         331.292
 520.0     0.84564     0.03084 9.40632E-01         280.109         331.239
 540.0     0.84587     0.03085 9.54886E-01         280.183         331.234
 600.0     0.84691     0.03095 9.69314E-01         280.497         331.201
 720.0     0.84718     0.03091 9.64714E-01         280.601         331.216
 850.0     0.84652     0.03104 9.50983E-01         280.345         331.172
1060.0     0.84573     0.03034 9.31156E-01         280.283         331.411
1200.0     0.84518     0.02923 9.14777E-01         280.420         331.789
1400.0     0.85462     0.02766 8.91991E-01         284.013         332.326
1500.0     0.87202     0.02706 8.60395E-01         289.972         332.529
1600.0     0.91121     0.02631 9.47634E-01         303.241         332.788
1800.0     1.11528     0.02541 8.66125E-01         371.494         333.093
2000.0     1.71006     0.02480 9.13792E-01         569.969         333.303
 
 4000           8
 TGO        SEFF         PALB    FH2O              FTIR(1)         FTSO(1)
 ==================================================
 200.0     0.38507     0.31417 1.65680E-06          90.262         234.404
 220.0     0.49980     0.30650 3.73017E-06         118.465         237.023
 240.0     0.62812     0.28606 3.96908E-06         153.268         244.012
 260.0     0.74221     0.25214 7.50795E-06         189.710         255.603
 280.0     0.84111     0.21133 1.45593E-05         226.724         269.553
 300.0     0.87527     0.15838 1.90819E-05         251.768         287.647
 320.0     0.86793     0.10870 1.14061E-04         264.394         304.627
 340.0     0.86339     0.08057 1.99708E-03         271.313         314.241
 360.0     0.85479     0.06159 7.47152E-02         274.154         320.728
 380.0     0.85082     0.04917 2.89513E-01         276.493         324.973
 400.0     0.84868     0.04193 5.08837E-01         277.899         327.449
 420.0     0.84818     0.03837 6.70553E-01         278.767         328.665
 440.0     0.84837     0.03684 7.78154E-01         279.272         329.187
 460.0     0.84917     0.03667 8.49676E-01         279.585         329.247
 480.0     0.85014     0.03693 8.91268E-01         279.828         329.157
 500.0     0.85077     0.03714 9.18847E-01         279.975         329.085
 520.0     0.85137     0.03736 9.40632E-01         280.109         329.011
 540.0     0.85161     0.03739 9.54886E-01         280.183         329.002
 600.0     0.85268     0.03751 9.69314E-01         280.497         328.958
 720.0     0.85295     0.03746 9.64714E-01         280.601         328.977
 850.0     0.85231     0.03761 9.50983E-01         280.345         328.925
1060.0     0.85139     0.03679 9.31156E-01         280.283         329.207
1200.0     0.85066     0.03549 9.14777E-01         280.420         329.650
1400.0     0.85993     0.03366 8.91991E-01         284.013         330.276
1500.0     0.87734     0.03297 8.60395E-01         289.972         330.512
1600.0     0.91665     0.03208 9.47634E-01         303.241         330.815
