TEFF     SEFF   ALBEDO     FTSOL      FTIR
2600.0  0.8174  0.0289     331.91     271.31
2800.0  0.8220  0.0342     330.08     271.31
3000.0  0.8279  0.0412     327.70     271.31
3200.0  0.8349  0.0492     324.96     271.31
3400.0  0.8415  0.0567     322.41     271.31
3600.0  0.8487  0.0646     319.69     271.31
3800.0  0.8565  0.0731     316.78     271.31
4000.0  0.8641  0.0814     313.97     271.31
4200.0  0.8726  0.0903     310.91     271.31
4400.0  0.8839  0.1020     306.93     271.31
4600.0  0.8977  0.1157     302.23     271.31
4800.0  0.9120  0.1296     297.50     271.31
5000.0  0.9260  0.1427     293.01     271.31
5200.0  0.9404  0.1559     288.50     271.31
5400.0  0.9545  0.1683     284.25     271.31
5600.0  0.9703  0.1819     279.62     271.31
5800.0  0.9847  0.1939     275.52     271.31
6000.0  1.0017  0.2075     270.84     271.31
6200.0  1.0171  0.2196     266.74     271.31
6400.0  1.0327  0.2313     262.72     271.31
6600.0  1.0479  0.2425     258.91     271.31
6800.0  1.0625  0.2529     255.35     271.31
7000.0  1.0745  0.2612     252.51     271.31
7200.0  1.0870  0.2697     249.60     271.31
