   TEFF     SEFF        FTIR            FTSOL        ALBEDO
 2600.0    0.22348   -6.78540E+04    3.03627E+05    1.11629E-01
 2800.0    0.22850   -6.77387E+04    2.96454E+05    1.32616E-01
 3000.0    0.23411   -6.77387E+04    2.89346E+05    1.53413E-01
 3200.0    0.24017   -6.79478E+04    2.82913E+05    1.72236E-01
 3400.0    0.24558   -6.79478E+04    2.76684E+05    1.90460E-01
 3600.0    0.25140   -6.79478E+04    2.70277E+05    2.09208E-01
 3800.0    0.25776   -6.79478E+04    2.63614E+05    2.28702E-01
 4000.0    0.26387   -6.85414E+04    2.59751E+05    2.40003E-01
 4200.0    0.27047   -6.85414E+04    2.53416E+05    2.58540E-01
 4400.0    0.27923   -6.85414E+04    2.45468E+05    2.81795E-01
 4600.0    0.29011   -6.85414E+04    2.36263E+05    3.08726E-01
 4800.0    0.30141   -6.85414E+04    2.27400E+05    3.34659E-01
 5000.0    0.31224   -7.00319E+04    2.24289E+05    3.43761E-01
 5200.0    0.32311   -7.00319E+04    2.16745E+05    3.65835E-01
 5400.0    0.33374   -7.00319E+04    2.09841E+05    3.86033E-01
 5600.0    0.34574   -7.00319E+04    2.02559E+05    4.07340E-01
 5800.0    0.35684   -7.00319E+04    1.96258E+05    4.25777E-01
 6000.0    0.37007   -7.13183E+04    1.92713E+05    4.36147E-01
 6200.0    0.38174   -7.13183E+04    1.86826E+05    4.53373E-01
 6400.0    0.39368   -7.13183E+04    1.81156E+05    4.69963E-01
 6600.0    0.40553   -7.13183E+04    1.75863E+05    4.85447E-01
 6800.0    0.41688   -7.21905E+04    1.73170E+05    4.93329E-01
 7000.0    0.42638   -7.21905E+04    1.69308E+05    5.04628E-01
 7200.0    0.43628   -7.21905E+04    1.65468E+05    5.15864E-01

   
