 # B4526                                                                                            
#pCO2(bar)   Seff        FTIR            FTSOL        ALBEDO                                        
    0.0    0.69105   -1.94781E+05    2.81863E+05    1.70992E-01                                     
    1.0    0.39826   -1.16389E+05    2.92248E+05    1.40447E-01                                     
    3.0    0.29399   -8.70908E+04    2.96234E+05    1.28725E-01                                     
    3.5    0.28092   -8.33780E+04    2.96806E+05    1.27041E-01                                     
    4.0    0.27047   -8.04154E+04    2.97313E+05    1.25551E-01                                     
    4.5    0.26199   -7.80109E+04    2.97764E+05    1.24225E-01                                     
    5.0    0.25529   -7.61237E+04    2.98180E+05    1.22999E-01                                     
    5.5    0.24965   -7.45324E+04    2.98544E+05    1.21928E-01                                     
    6.0    0.24507   -7.32452E+04    2.98873E+05    1.20961E-01                                     
    6.5    0.24133   -7.21973E+04    2.99161E+05    1.20113E-01                                     
    7.0    0.23822   -7.13248E+04    2.99409E+05    1.19384E-01                                     
    8.0    0.23361   -7.00380E+04    2.99811E+05    1.18204E-01                                     
   10.0    0.22850   -6.85471E+04    2.99989E+05    1.17680E-01                                     
   12.0    0.22656   -6.79533E+04    2.99937E+05    1.17831E-01                                     
   15.0    0.22575   -6.77439E+04    3.00082E+05    1.17405E-01                                     
   20.0    0.22562   -6.78593E+04    3.00763E+05    1.15402E-01                                     
   25.0    0.22574   -6.80053E+04    3.01250E+05    1.13971E-01                                     
   35.0    0.22581   -6.81739E+04    3.01913E+05    1.12021E-01                                     
                                                                                                    
 # B4528                                                                                            
#pCO2(bar)   Seff        FTIR            FTSOL        ALBEDO                                        
    0.0    0.69463   -1.94781E+05    2.80410E+05    1.75265E-01                                     
    1.0    0.40188   -1.16389E+05    2.89610E+05    1.48207E-01                                     
    3.0    0.29764   -8.70908E+04    2.92607E+05    1.39391E-01                                     
    3.5    0.28458   -8.33780E+04    2.92990E+05    1.38265E-01                                     
    4.0    0.27416   -8.04154E+04    2.93320E+05    1.37294E-01                                     
    4.5    0.26570   -7.80109E+04    2.93601E+05    1.36467E-01                                     
    5.0    0.25904   -7.61237E+04    2.93864E+05    1.35693E-01                                     
    5.5    0.25345   -7.45324E+04    2.94076E+05    1.35072E-01                                     
    6.0    0.24891   -7.32452E+04    2.94263E+05    1.34522E-01                                     
    6.5    0.24522   -7.21973E+04    2.94415E+05    1.34073E-01                                     
    7.0    0.24216   -7.13248E+04    2.94532E+05    1.33731E-01                                     
    8.0    0.23767   -7.00380E+04    2.94691E+05    1.33262E-01                                     
   10.0    0.23286   -6.85471E+04    2.94374E+05    1.34194E-01                                     
   12.0    0.23119   -6.79533E+04    2.93923E+05    1.35521E-01                                     
   15.0    0.23077   -6.77439E+04    2.93561E+05    1.36586E-01                                     
   20.0    0.23115   -6.78593E+04    2.93577E+05    1.36538E-01                                     
   25.0    0.23166   -6.80053E+04    2.93554E+05    1.36607E-01                                     
   35.0    0.23224   -6.81739E+04    2.93553E+05    1.36608E-01                                     
                                                                                                    
 # B4530                                                                                            
#pCO2(bar)   Seff        FTIR            FTSOL        ALBEDO                                        
    0.0    0.69983   -1.94781E+05    2.78326E+05    1.81395E-01                                     
    1.0    0.40650   -1.16389E+05    2.86319E+05    1.57886E-01                                     
    3.0    0.30218   -8.70908E+04    2.88207E+05    1.52333E-01                                     
    3.5    0.28913   -8.33780E+04    2.88373E+05    1.51843E-01                                     
    4.0    0.27873   -8.04154E+04    2.88502E+05    1.51465E-01                                     
    4.5    0.27032   -7.80109E+04    2.88590E+05    1.51205E-01                                     
    5.0    0.26370   -7.61237E+04    2.88680E+05    1.50942E-01                                     
    5.5    0.25815   -7.45324E+04    2.88718E+05    1.50828E-01                                     
    6.0    0.25367   -7.32452E+04    2.88746E+05    1.50746E-01                                     
    6.5    0.25004   -7.21973E+04    2.88747E+05    1.50745E-01                                     
    7.0    0.24704   -7.13248E+04    2.88717E+05    1.50832E-01                                     
    8.0    0.24268   -7.00380E+04    2.88608E+05    1.51152E-01                                     
   10.0    0.23820   -6.85471E+04    2.87775E+05    1.53604E-01                                     
   12.0    0.23685   -6.79533E+04    2.86904E+05    1.56164E-01                                     
   15.0    0.23686   -6.77439E+04    2.86013E+05    1.58786E-01                                     
   20.0    0.23782   -6.78593E+04    2.85335E+05    1.60780E-01                                     
   25.0    0.23880   -6.80053E+04    2.84780E+05    1.62411E-01                                     
   35.0    0.23998   -6.81739E+04    2.84078E+05    1.64476E-01                                     
                                                                                                    
 # B4532                                                                                            
#pCO2(bar)   Seff        FTIR            FTSOL        ALBEDO                                        
    0.0    0.70589   -1.94781E+05    2.75937E+05    1.88419E-01                                     
    1.0    0.41167   -1.16389E+05    2.82725E+05    1.68455E-01                                     
    3.0    0.30727   -8.70908E+04    2.83432E+05    1.66377E-01                                     
    3.5    0.29424   -8.33780E+04    2.83368E+05    1.66564E-01                                     
    4.0    0.28387   -8.04154E+04    2.83283E+05    1.66815E-01                                     
    4.5    0.27549   -7.80109E+04    2.83168E+05    1.67154E-01                                     
    5.0    0.26892   -7.61237E+04    2.83074E+05    1.67428E-01                                     
    5.5    0.26343   -7.45324E+04    2.82933E+05    1.67845E-01                                     
    6.0    0.25900   -7.32452E+04    2.82794E+05    1.68252E-01                                     
    6.5    0.25544   -7.21973E+04    2.82637E+05    1.68716E-01                                     
    7.0    0.25252   -7.13248E+04    2.82455E+05    1.69250E-01                                     
    8.0    0.24830   -7.00380E+04    2.82070E+05    1.70383E-01                                     
   10.0    0.24418   -6.85471E+04    2.80729E+05    1.74326E-01                                     
   12.0    0.24317   -6.79533E+04    2.79446E+05    1.78100E-01                                     
   15.0    0.24365   -6.77439E+04    2.78035E+05    1.82251E-01                                     
   20.0    0.24527   -6.78593E+04    2.76674E+05    1.86253E-01                                     
   25.0    0.24676   -6.80053E+04    2.75598E+05    1.89417E-01                                     
   35.0    0.24863   -6.81739E+04    2.74199E+05    1.93533E-01                                     
                                                                                                    
 # B4534                                                                                            
#pCO2(bar)   Seff        FTIR            FTSOL        ALBEDO                                        
    0.0    0.71150   -1.94781E+05    2.73762E+05    1.94817E-01                                     
    1.0    0.41641   -1.16389E+05    2.79504E+05    1.77928E-01                                     
    3.0    0.31199   -8.70908E+04    2.79147E+05    1.78981E-01                                     
    3.5    0.29898   -8.33780E+04    2.78877E+05    1.79775E-01                                     
    4.0    0.28864   -8.04154E+04    2.78601E+05    1.80586E-01                                     
    4.5    0.28031   -7.80109E+04    2.78304E+05    1.81458E-01                                     
    5.0    0.27378   -7.61237E+04    2.78049E+05    1.82208E-01                                     
    5.5    0.26835   -7.45324E+04    2.77748E+05    1.83093E-01                                     
    6.0    0.26398   -7.32452E+04    2.77464E+05    1.83930E-01                                     
    6.5    0.26048   -7.21973E+04    2.77167E+05    1.84802E-01                                     
    7.0    0.25763   -7.13248E+04    2.76853E+05    1.85726E-01                                     
    8.0    0.25355   -7.00380E+04    2.76227E+05    1.87569E-01                                     
   10.0    0.24975   -6.85471E+04    2.74460E+05    1.92763E-01                                     
   12.0    0.24907   -6.79533E+04    2.72831E+05    1.97556E-01                                     
   15.0    0.24999   -6.77439E+04    2.70983E+05    2.02990E-01                                     
   20.0    0.25222   -6.78593E+04    2.69048E+05    2.08683E-01                                     
   25.0    0.25419   -6.80053E+04    2.67535E+05    2.13133E-01                                     
   35.0    0.25673   -6.81739E+04    2.65546E+05    2.18982E-01                                     
                                                                                                    
 # B4536                                                                                            
#pCO2(bar)   Seff        FTIR            FTSOL        ALBEDO                                        
    0.0    0.71736   -1.94781E+05    2.71523E+05    2.01402E-01                                     
    1.0    0.42142   -1.16389E+05    2.76184E+05    1.87694E-01                                     
    3.0    0.31702   -8.70908E+04    2.74716E+05    1.92011E-01                                     
    3.5    0.30404   -8.33780E+04    2.74232E+05    1.93436E-01                                     
    4.0    0.29375   -8.04154E+04    2.73758E+05    1.94829E-01                                     
    4.5    0.28547   -7.80109E+04    2.73274E+05    1.96252E-01                                     
    5.0    0.27899   -7.61237E+04    2.72853E+05    1.97493E-01                                     
    5.5    0.27363   -7.45324E+04    2.72387E+05    1.98862E-01                                     
    6.0    0.26933   -7.32452E+04    2.71952E+05    2.00140E-01                                     
    6.5    0.26591   -7.21973E+04    2.71514E+05    2.01431E-01                                     
    7.0    0.26313   -7.13248E+04    2.71063E+05    2.02757E-01                                     
    8.0    0.25922   -7.00380E+04    2.70190E+05    2.05325E-01                                     
   10.0    0.25577   -6.85471E+04    2.67999E+05    2.11768E-01                                     
   12.0    0.25544   -6.79533E+04    2.66022E+05    2.17582E-01                                     
   15.0    0.25686   -6.77439E+04    2.63740E+05    2.24296E-01                                     
   20.0    0.25977   -6.78593E+04    2.61232E+05    2.31671E-01                                     
   25.0    0.26228   -6.80053E+04    2.59286E+05    2.37396E-01                                     
   35.0    0.26556   -6.81739E+04    2.56713E+05    2.44961E-01                                     
                                                                                                    
 # B4538                                                                                            
#pCO2(bar)   Seff        FTIR            FTSOL        ALBEDO                                        
    0.0    0.72369   -1.94781E+05    2.69149E+05    2.08384E-01                                     
    1.0    0.42679   -1.16389E+05    2.72709E+05    1.97913E-01                                     
    3.0    0.32246   -8.70908E+04    2.70084E+05    2.05636E-01                                     
    3.5    0.30952   -8.33780E+04    2.69375E+05    2.07720E-01                                     
    4.0    0.29928   -8.04154E+04    2.68695E+05    2.09720E-01                                     
    4.5    0.29107   -7.80109E+04    2.68016E+05    2.11717E-01                                     
    5.0    0.28466   -7.61237E+04    2.67421E+05    2.13467E-01                                     
    5.5    0.27937   -7.45324E+04    2.66785E+05    2.15338E-01                                     
    6.0    0.27516   -7.32452E+04    2.66195E+05    2.17074E-01                                     
    6.5    0.27182   -7.21973E+04    2.65608E+05    2.18799E-01                                     
    7.0    0.26913   -7.13248E+04    2.65017E+05    2.20539E-01                                     
    8.0    0.26541   -7.00380E+04    2.63889E+05    2.23857E-01                                     
   10.0    0.26236   -6.85471E+04    2.61268E+05    2.31565E-01                                     
   12.0    0.26243   -6.79533E+04    2.58939E+05    2.38414E-01                                     
   15.0    0.26440   -6.77439E+04    2.56217E+05    2.46422E-01                                     
   20.0    0.26808   -6.78593E+04    2.53132E+05    2.55493E-01                                     
   25.0    0.27121   -6.80053E+04    2.50752E+05    2.62495E-01                                     
   35.0    0.27535   -6.81739E+04    2.47591E+05    2.71791E-01                                     
                                                                                                    
 # B4540                                                                                            
#pCO2(bar)   Seff        FTIR            FTSOL        ALBEDO                                        
    0.0    0.72991   -1.94781E+05    2.66854E+05    2.15134E-01                                     
    1.0    0.43201   -1.16389E+05    2.69412E+05    2.07610E-01                                     
    3.0    0.32778   -8.70908E+04    2.65700E+05    2.18530E-01                                     
    3.5    0.31489   -8.33780E+04    2.64781E+05    2.21231E-01                                     
    4.0    0.30471   -8.04154E+04    2.63909E+05    2.23798E-01                                     
    4.5    0.29657   -7.80109E+04    2.63048E+05    2.26330E-01                                     
    5.0    0.29023   -7.61237E+04    2.62292E+05    2.28554E-01                                     
    5.5    0.28502   -7.45324E+04    2.61498E+05    2.30889E-01                                     
    6.0    0.28089   -7.32452E+04    2.60763E+05    2.33049E-01                                     
    6.5    0.27764   -7.21973E+04    2.60041E+05    2.35174E-01                                     
    7.0    0.27505   -7.13248E+04    2.59320E+05    2.37295E-01                                     
    8.0    0.27151   -7.00380E+04    2.57958E+05    2.41300E-01                                     
   10.0    0.26887   -6.85471E+04    2.54949E+05    2.50150E-01                                     
   12.0    0.26933   -6.79533E+04    2.52305E+05    2.57925E-01                                     
   15.0    0.27185   -6.77439E+04    2.49191E+05    2.67084E-01                                     
   20.0    0.27630   -6.78593E+04    2.45598E+05    2.77654E-01                                     
   25.0    0.28005   -6.80053E+04    2.42835E+05    2.85778E-01                                     
   35.0    0.28506   -6.81739E+04    2.39155E+05    2.96602E-01                                     
                                                                                                    
 # B4542                                                                                            
#pCO2(bar)   Seff        FTIR            FTSOL        ALBEDO                                        
    0.0    0.73674   -1.94781E+05    2.64381E+05    2.22408E-01                                     
    1.0    0.43780   -1.16389E+05    2.65850E+05    2.18089E-01                                     
    3.0    0.33370   -8.70908E+04    2.60982E+05    2.32405E-01                                     
    3.5    0.32088   -8.33780E+04    2.59844E+05    2.35754E-01                                     
    4.0    0.31076   -8.04154E+04    2.58769E+05    2.38914E-01                                     
    4.5    0.30270   -7.80109E+04    2.57719E+05    2.42004E-01                                     
    5.0    0.29644   -7.61237E+04    2.56795E+05    2.44721E-01                                     
    5.5    0.29133   -7.45324E+04    2.55836E+05    2.47540E-01                                     
    6.0    0.28729   -7.32452E+04    2.54953E+05    2.50139E-01                                     
    6.5    0.28414   -7.21973E+04    2.54090E+05    2.52678E-01                                     
    7.0    0.28166   -7.13248E+04    2.53234E+05    2.55193E-01                                     
    8.0    0.27834   -7.00380E+04    2.51632E+05    2.59907E-01                                     
   10.0    0.27615   -6.85471E+04    2.48223E+05    2.69932E-01                                     
   12.0    0.27707   -6.79533E+04    2.45256E+05    2.78659E-01                                     
   15.0    0.28023   -6.77439E+04    2.41744E+05    2.88988E-01                                     
   20.0    0.28555   -6.78593E+04    2.37640E+05    3.01059E-01                                     
   25.0    0.29000   -6.80053E+04    2.34501E+05    3.10290E-01                                     
   35.0    0.29600   -6.81739E+04    2.30315E+05    3.22604E-01                                     
                                                                                                    
 # B4544                                                                                            
#pCO2(bar)   Seff        FTIR            FTSOL        ALBEDO                                        
    0.0    0.74556   -1.94781E+05    2.61254E+05    2.31607E-01                                     
    1.0    0.44539   -1.16389E+05    2.61322E+05    2.31406E-01                                     
    3.0    0.34153   -8.70908E+04    2.54999E+05    2.50003E-01                                     
    3.5    0.32879   -8.33780E+04    2.53588E+05    2.54151E-01                                     
    4.0    0.31877   -8.04154E+04    2.52267E+05    2.58039E-01                                     
    4.5    0.31082   -7.80109E+04    2.50984E+05    2.61812E-01                                     
    5.0    0.30467   -7.61237E+04    2.49857E+05    2.65128E-01                                     
    5.5    0.29969   -7.45324E+04    2.48699E+05    2.68532E-01                                     
    6.0    0.29578   -7.32452E+04    2.47635E+05    2.71660E-01                                     
    6.5    0.29277   -7.21973E+04    2.46603E+05    2.74697E-01                                     
    7.0    0.29043   -7.13248E+04    2.45587E+05    2.77685E-01                                     
    8.0    0.28740   -7.00380E+04    2.43696E+05    2.83246E-01                                     
   10.0    0.28583   -6.85471E+04    2.39817E+05    2.94655E-01                                     
   12.0    0.28737   -6.79533E+04    2.36470E+05    3.04501E-01                                     
   15.0    0.29138   -6.77439E+04    2.32493E+05    3.16196E-01                                     
   20.0    0.29789   -6.78593E+04    2.27800E+05    3.29999E-01                                     
   25.0    0.30328   -6.80053E+04    2.24232E+05    3.40495E-01                                     
   35.0    0.31063   -6.81739E+04    2.19470E+05    3.54500E-01                                     
                                                                                                    
 # B4546                                                                                            
#pCO2(bar)   Seff        FTIR            FTSOL        ALBEDO                                        
    0.0    0.75621   -1.94781E+05    2.57574E+05    2.42429E-01                                     
    1.0    0.45475   -1.16389E+05    2.55941E+05    2.47232E-01                                     
    3.0    0.35123   -8.70908E+04    2.47963E+05    2.70698E-01                                     
    3.5    0.33859   -8.33780E+04    2.46252E+05    2.75731E-01                                     
    4.0    0.32869   -8.04154E+04    2.44658E+05    2.80418E-01                                     
    4.5    0.32087   -7.80109E+04    2.43122E+05    2.84935E-01                                     
    5.0    0.31486   -7.61237E+04    2.41773E+05    2.88903E-01                                     
    5.5    0.31003   -7.45324E+04    2.40400E+05    2.92941E-01                                     
    6.0    0.30628   -7.32452E+04    2.39142E+05    2.96642E-01                                     
    6.5    0.30344   -7.21973E+04    2.37927E+05    3.00216E-01                                     
    7.0    0.30128   -7.13248E+04    2.36738E+05    3.03712E-01                                     
    8.0    0.29862   -7.00380E+04    2.34538E+05    3.10183E-01                                     
   10.0    0.29784   -6.85471E+04    2.30147E+05    3.23097E-01                                     
   12.0    0.30017   -6.79533E+04    2.26386E+05    3.34159E-01                                     
   15.0    0.30528   -6.77439E+04    2.21909E+05    3.47326E-01                                     
   20.0    0.31330   -6.78593E+04    2.16594E+05    3.62958E-01                                     
   25.0    0.31991   -6.80053E+04    2.12579E+05    3.74768E-01                                     
   35.0    0.32897   -6.81739E+04    2.07234E+05    3.90489E-01                                     
                                                                                                    
 # B4548                                                                                            
#pCO2(bar)   Seff        FTIR            FTSOL        ALBEDO                                        
    0.0    0.76693   -1.94781E+05    2.53976E+05    2.53012E-01                                     
    1.0    0.46432   -1.16389E+05    2.50669E+05    2.62739E-01                                     
    3.0    0.36123   -8.70908E+04    2.41093E+05    2.90904E-01                                     
    3.5    0.34872   -8.33780E+04    2.39099E+05    2.96767E-01                                     
    4.0    0.33894   -8.04154E+04    2.37253E+05    3.02198E-01                                     
    4.5    0.33128   -7.80109E+04    2.35483E+05    3.07403E-01                                     
    5.0    0.32541   -7.61237E+04    2.33930E+05    3.11969E-01                                     
    5.5    0.32076   -7.45324E+04    2.32361E+05    3.16586E-01                                     
    6.0    0.31718   -7.32452E+04    2.30926E+05    3.20807E-01                                     
    6.5    0.31452   -7.21973E+04    2.29545E+05    3.24866E-01                                     
    7.0    0.31255   -7.13248E+04    2.28201E+05    3.28820E-01                                     
    8.0    0.31028   -7.00380E+04    2.25725E+05    3.36104E-01                                     
   10.0    0.31033   -6.85471E+04    2.20885E+05    3.50338E-01                                     
   12.0    0.31349   -6.79533E+04    2.16764E+05    3.62459E-01                                     
   15.0    0.31976   -6.77439E+04    2.11856E+05    3.76893E-01                                     
   20.0    0.32940   -6.78593E+04    2.06010E+05    3.94088E-01                                     
   25.0    0.33730   -6.80053E+04    2.01618E+05    4.07006E-01                                     
   35.0    0.34821   -6.81739E+04    1.95786E+05    4.24159E-01                                     
                                                                                                    
 # B4550                                                                                            
#pCO2(bar)   Seff        FTIR            FTSOL        ALBEDO                                        
    0.0    0.77713   -1.94781E+05    2.50642E+05    2.62816E-01                                     
    1.0    0.47355   -1.16389E+05    2.45779E+05    2.77122E-01                                     
    3.0    0.37101   -8.70908E+04    2.34740E+05    3.09587E-01                                     
    3.5    0.35862   -8.33780E+04    2.32495E+05    3.16191E-01                                     
    4.0    0.34899   -8.04154E+04    2.30424E+05    3.22281E-01                                     
    4.5    0.34148   -7.80109E+04    2.28449E+05    3.28092E-01                                     
    5.0    0.33576   -7.61237E+04    2.26718E+05    3.33181E-01                                     
    5.5    0.33129   -7.45324E+04    2.24978E+05    3.38301E-01                                     
    6.0    0.32788   -7.32452E+04    2.23390E+05    3.42971E-01                                     
    6.5    0.32541   -7.21973E+04    2.21868E+05    3.47448E-01                                     
    7.0    0.32363   -7.13248E+04    2.20390E+05    3.51793E-01                                     
    8.0    0.32175   -7.00380E+04    2.17678E+05    3.59769E-01                                     
   10.0    0.32263   -6.85471E+04    2.12466E+05    3.75100E-01                                     
   12.0    0.32662   -6.79533E+04    2.08049E+05    3.88091E-01                                     
   15.0    0.33406   -6.77439E+04    2.02790E+05    4.03560E-01                                     
   20.0    0.34532   -6.78593E+04    1.96513E+05    4.22021E-01                                     
   25.0    0.35453   -6.80053E+04    1.91819E+05    4.35827E-01                                     
   35.0    0.36732   -6.81739E+04    1.85597E+05    4.54125E-01                                     
                                                                                                    
 # B4552                                                                                            
#pCO2(bar)   Seff        FTIR            FTSOL        ALBEDO                                        
    0.0    0.78755   -1.94781E+05    2.47325E+05    2.72575E-01                                     
    1.0    0.48313   -1.16389E+05    2.40909E+05    2.91445E-01                                     
    3.0    0.38122   -8.70908E+04    2.28453E+05    3.28079E-01                                     
    3.5    0.36898   -8.33780E+04    2.25970E+05    3.35384E-01                                     
    4.0    0.35950   -8.04154E+04    2.23688E+05    3.42093E-01                                     
    4.5    0.35216   -7.80109E+04    2.21521E+05    3.48468E-01                                     
    5.0    0.34661   -7.61237E+04    2.19626E+05    3.54042E-01                                     
    5.5    0.34232   -7.45324E+04    2.17727E+05    3.59626E-01                                     
    6.0    0.33910   -7.32452E+04    2.15999E+05    3.64710E-01                                     
    6.5    0.33682   -7.21973E+04    2.14347E+05    3.69568E-01                                     
    7.0    0.33526   -7.13248E+04    2.12748E+05    3.74271E-01                                     
    8.0    0.33380   -7.00380E+04    2.09822E+05    3.82875E-01                                     
   10.0    0.33556   -6.85471E+04    2.04277E+05    3.99186E-01                                     
   12.0    0.34045   -6.79533E+04    1.99598E+05    4.12948E-01                                     
   15.0    0.34914   -6.77439E+04    1.94028E+05    4.29329E-01                                     
