#pCO2(bar)   Seff        FTIR            FTSOL        ALBEDO
    1.0   0.39826      -0.12E+06       0.29E+06    0.14045E+00
    3.0   0.29399      -0.87E+05       0.30E+06    0.12873E+00
    3.5   0.28092      -0.83E+05       0.30E+06    0.12704E+00
    4.0   0.27047      -0.80E+05       0.30E+06    0.12555E+00
    4.5   0.26199      -0.78E+05       0.30E+06    0.12422E+00
    5.0   0.25529      -0.76E+05       0.30E+06    0.12300E+00
    5.5   0.24965      -0.75E+05       0.30E+06    0.12193E+00
    6.0   0.24507      -0.73E+05       0.30E+06    0.12096E+00
    6.5   0.24133      -0.72E+05       0.30E+06    0.12011E+00
    7.0   0.23822      -0.71E+05       0.30E+06    0.11938E+00
    8.0   0.23361      -0.70E+05       0.30E+06    0.11820E+00
   10.0   0.22850      -0.69E+05       0.30E+06    0.11768E+00
   12.0   0.22656      -0.68E+05       0.30E+06    0.11783E+00
   15.0   0.22575      -0.68E+05       0.30E+06    0.11740E+00
   20.0   0.22562      -0.68E+05       0.30E+06    0.11540E+00
   25.0   0.22574      -0.68E+05       0.30E+06    0.11397E+00
   35.0   0.22581      -0.68E+05       0.30E+06    0.11202E+00
